state,date,exception_type
AK,2020-04-13,negative
AR,2020-04-08,hospitalized
AR,2020-04-16,hospitalized
DC,2020-04-15,negative
DE,2020-04-11,negative
HI,2020-03-26,hospitalized
IA,2020-04-09,hospitalized
IN,2020-03-26,hospitalized
MA,2020-04-18,hospitalized
MS,2020-03-30,hospitalized
MS,2020-04-07,hospitalized
PA,2020-04-07,hospitalized
RI,2020-03-07,positive
SC,2020-04-03,hospitalized
VA,2020-04-11,hospitalized
VA,2020-04-05,death
VT,2020-04-09,hospitalized
WI,2020-03-30,negative
WV,2020-04-04,hospitalized
WV,2020-04-16,hospitalized
